VA_EXERCICIO;COD_IBGE;NO_ESTADO;SG_ESTADO;SG_DIMENSAO;NO_VERIFICACAO;PONTUACAO
2019;11;Rondônia;RO;DIV;D4_00005;1
2019;11;Rondônia;RO;DIV;D4_00006;1
2019;11;Rondônia;RO;DIV;D4_00002;1
2019;11;Rondônia;RO;DIV;D4_00001;1
2019;11;Rondônia;RO;DI;D1_00014;0,8
2019;11;Rondônia;RO;DI;D1_00013;1
2019;11;Rondônia;RO;DI;D1_00015;0,8
2019;11;Rondônia;RO;DI;D1_00012;1
2019;11;Rondônia;RO;DI;D1_00011;1
2019;11;Rondônia;RO;DI;D1_00009;1
2019;11;Rondônia;RO;DI;D1_00010;1
2019;11;Rondônia;RO;DI;D1_00008;1
2019;11;Rondônia;RO;DI;D1_00007;1
2019;11;Rondônia;RO;DI;D1_00006;0,8
2019;11;Rondônia;RO;DI;D1_00005;1
2019;11;Rondônia;RO;DI;D1_00004;1
2019;11;Rondônia;RO;DI;D1_00003;1
2019;11;Rondônia;RO;DI;D1_00002;1
2019;11;Rondônia;RO;DII;D2_00029;1
2019;11;Rondônia;RO;DI;D1_00001;1
2019;11;Rondônia;RO;DII;D2_00021;1
2019;11;Rondônia;RO;DII;D2_00020;1
2019;11;Rondônia;RO;DII;D2_00018;1
2019;11;Rondônia;RO;DII;D2_00017;1
2019;11;Rondônia;RO;DII;D2_00016;1
2019;11;Rondônia;RO;DII;D2_00001;1
2019;11;Rondônia;RO;DII;D2_00032;0
2019;11;Rondônia;RO;DII;D2_00033;1
2019;11;Rondônia;RO;DII;D2_00030;1
2019;11;Rondônia;RO;DII;D2_00031;1
2019;11;Rondônia;RO;DII;D2_00028;1
2019;11;Rondônia;RO;DII;D2_00023;1
2019;11;Rondônia;RO;DII;D2_00024;1
2019;11;Rondônia;RO;DII;D2_00022;1
2019;11;Rondônia;RO;DII;D2_00019;1
2019;11;Rondônia;RO;DII;D2_00015;1
2019;11;Rondônia;RO;DII;D2_00011;1
2019;11;Rondônia;RO;DII;D2_00012;1
2019;11;Rondônia;RO;DII;D2_00013;1
2019;11;Rondônia;RO;DII;D2_00014;1
2019;11;Rondônia;RO;DII;D2_00007;1
2019;11;Rondônia;RO;DII;D2_00008;1
2019;11;Rondônia;RO;DII;D2_00010;1
2019;11;Rondônia;RO;DII;D2_00004;1
2019;11;Rondônia;RO;DII;D2_00005;1
2019;11;Rondônia;RO;DII;D2_00006;1
2019;11;Rondônia;RO;DIII;D3_00013;1
2019;11;Rondônia;RO;DIII;D3_00012;1
2019;11;Rondônia;RO;DII;D2_00002;1
2019;11;Rondônia;RO;DII;D2_00003;1
2019;11;Rondônia;RO;DIII;D3_00009;0
2019;11;Rondônia;RO;DIII;D3_00010;0
2019;11;Rondônia;RO;DIII;D3_00011;1
2019;11;Rondônia;RO;DIII;D3_00006;1
2019;11;Rondônia;RO;DIII;D3_00007;1
2019;11;Rondônia;RO;DIII;D3_00008;0
2019;11;Rondônia;RO;DIII;D3_00005;1
2019;11;Rondônia;RO;DIII;D3_00003;1
2019;11;Rondônia;RO;DIII;D3_00001;1
2019;11;Rondônia;RO;DIII;D3_00002;1
2019;11;Rondônia;RO;DIV;D4_00015;1
2019;11;Rondônia;RO;DIV;D4_00013;1
2019;11;Rondônia;RO;DIV;D4_00011;1
2019;11;Rondônia;RO;DIV;D4_00009;1
2019;11;Rondônia;RO;DIV;D4_00008;1
2019;11;Rondônia;RO;DIV;D4_00007;1
2019;11;Rondônia;RO;DIV;D4_00003;1
2019;11;Rondônia;RO;DIV;D4_00004;1
2019;12;Acre;AC;DIV;D4_00005;1
2019;12;Acre;AC;DIV;D4_00006;1
2019;12;Acre;AC;DIV;D4_00002;1
2019;12;Acre;AC;DIV;D4_00001;1
2019;12;Acre;AC;DI;D1_00014;1
2019;12;Acre;AC;DI;D1_00013;1
2019;12;Acre;AC;DI;D1_00015;0,8
2019;12;Acre;AC;DI;D1_00012;1
2019;12;Acre;AC;DI;D1_00011;1
2019;12;Acre;AC;DI;D1_00009;1
2019;12;Acre;AC;DI;D1_00010;1
2019;12;Acre;AC;DI;D1_00008;1
2019;12;Acre;AC;DI;D1_00007;1
2019;12;Acre;AC;DI;D1_00006;1
2019;12;Acre;AC;DI;D1_00005;1
2019;12;Acre;AC;DI;D1_00004;1
2019;12;Acre;AC;DI;D1_00003;1
2019;12;Acre;AC;DI;D1_00002;1
2019;12;Acre;AC;DII;D2_00029;1
2019;12;Acre;AC;DI;D1_00001;1
2019;12;Acre;AC;DII;D2_00021;1
2019;12;Acre;AC;DII;D2_00020;1
2019;12;Acre;AC;DII;D2_00018;1
2019;12;Acre;AC;DII;D2_00017;1
2019;12;Acre;AC;DII;D2_00016;1
2019;12;Acre;AC;DII;D2_00001;0
2019;12;Acre;AC;DII;D2_00032;0
2019;12;Acre;AC;DII;D2_00033;0
2019;12;Acre;AC;DII;D2_00030;1
2019;12;Acre;AC;DII;D2_00031;1
2019;12;Acre;AC;DII;D2_00028;1
2019;12;Acre;AC;DII;D2_00023;1
2019;12;Acre;AC;DII;D2_00024;1
2019;12;Acre;AC;DII;D2_00022;1
2019;12;Acre;AC;DII;D2_00019;1
2019;12;Acre;AC;DII;D2_00015;1
2019;12;Acre;AC;DII;D2_00011;1
2019;12;Acre;AC;DII;D2_00012;1
2019;12;Acre;AC;DII;D2_00013;1
2019;12;Acre;AC;DII;D2_00014;1
2019;12;Acre;AC;DII;D2_00007;1
2019;12;Acre;AC;DII;D2_00008;1
2019;12;Acre;AC;DII;D2_00010;1
2019;12;Acre;AC;DII;D2_00004;1
2019;12;Acre;AC;DII;D2_00005;1
2019;12;Acre;AC;DII;D2_00006;1
2019;12;Acre;AC;DIII;D3_00013;1
2019;12;Acre;AC;DIII;D3_00012;1
2019;12;Acre;AC;DII;D2_00002;0
2019;12;Acre;AC;DII;D2_00003;1
2019;12;Acre;AC;DIII;D3_00009;0
2019;12;Acre;AC;DIII;D3_00010;1
2019;12;Acre;AC;DIII;D3_00011;1
2019;12;Acre;AC;DIII;D3_00006;1
2019;12;Acre;AC;DIII;D3_00007;1
2019;12;Acre;AC;DIII;D3_00008;0
2019;12;Acre;AC;DIII;D3_00005;1
2019;12;Acre;AC;DIII;D3_00003;1
2019;12;Acre;AC;DIII;D3_00001;1
2019;12;Acre;AC;DIII;D3_00002;1
2019;12;Acre;AC;DIV;D4_00015;1
2019;12;Acre;AC;DIV;D4_00013;1
2019;12;Acre;AC;DIV;D4_00011;1
2019;12;Acre;AC;DIV;D4_00009;0
2019;12;Acre;AC;DIV;D4_00008;1
2019;12;Acre;AC;DIV;D4_00007;1
2019;12;Acre;AC;DIV;D4_00003;1
2019;12;Acre;AC;DIV;D4_00004;1
2019;13;Amazonas;AM;DIV;D4_00005;1
2019;13;Amazonas;AM;DIV;D4_00006;1
2019;13;Amazonas;AM;DIV;D4_00002;1
2019;13;Amazonas;AM;DIV;D4_00001;1
2019;13;Amazonas;AM;DI;D1_00014;0,8
2019;13;Amazonas;AM;DI;D1_00013;0,8
2019;13;Amazonas;AM;DI;D1_00015;0,8
2019;13;Amazonas;AM;DI;D1_00012;1
2019;13;Amazonas;AM;DI;D1_00011;0,8
2019;13;Amazonas;AM;DI;D1_00009;1
2019;13;Amazonas;AM;DI;D1_00010;1
2019;13;Amazonas;AM;DI;D1_00008;0,7
2019;13;Amazonas;AM;DI;D1_00007;1
2019;13;Amazonas;AM;DI;D1_00006;0,7
2019;13;Amazonas;AM;DI;D1_00005;1
2019;13;Amazonas;AM;DI;D1_00004;1
2019;13;Amazonas;AM;DI;D1_00003;1
2019;13;Amazonas;AM;DI;D1_00002;1
2019;13;Amazonas;AM;DII;D2_00029;1
2019;13;Amazonas;AM;DI;D1_00001;1
2019;13;Amazonas;AM;DII;D2_00021;1
2019;13;Amazonas;AM;DII;D2_00020;1
2019;13;Amazonas;AM;DII;D2_00018;1
2019;13;Amazonas;AM;DII;D2_00017;1
2019;13;Amazonas;AM;DII;D2_00016;1
2019;13;Amazonas;AM;DII;D2_00001;1
2019;13;Amazonas;AM;DII;D2_00032;1
2019;13;Amazonas;AM;DII;D2_00033;0
2019;13;Amazonas;AM;DII;D2_00030;1
2019;13;Amazonas;AM;DII;D2_00031;1
2019;13;Amazonas;AM;DII;D2_00028;1
2019;13;Amazonas;AM;DII;D2_00023;1
2019;13;Amazonas;AM;DII;D2_00024;1
2019;13;Amazonas;AM;DII;D2_00022;1
2019;13;Amazonas;AM;DII;D2_00019;1
2019;13;Amazonas;AM;DII;D2_00015;1
2019;13;Amazonas;AM;DII;D2_00011;1
2019;13;Amazonas;AM;DII;D2_00012;1
2019;13;Amazonas;AM;DII;D2_00013;1
2019;13;Amazonas;AM;DII;D2_00014;1
2019;13;Amazonas;AM;DII;D2_00007;1
2019;13;Amazonas;AM;DII;D2_00008;1
2019;13;Amazonas;AM;DII;D2_00010;1
2019;13;Amazonas;AM;DII;D2_00004;1
2019;13;Amazonas;AM;DII;D2_00005;1
2019;13;Amazonas;AM;DII;D2_00006;1
2019;13;Amazonas;AM;DIII;D3_00013;1
2019;13;Amazonas;AM;DIII;D3_00012;1
2019;13;Amazonas;AM;DII;D2_00002;1
2019;13;Amazonas;AM;DII;D2_00003;1
2019;13;Amazonas;AM;DIII;D3_00009;1
2019;13;Amazonas;AM;DIII;D3_00010;0
2019;13;Amazonas;AM;DIII;D3_00011;1
2019;13;Amazonas;AM;DIII;D3_00006;1
2019;13;Amazonas;AM;DIII;D3_00007;1
2019;13;Amazonas;AM;DIII;D3_00008;1
2019;13;Amazonas;AM;DIII;D3_00005;1
2019;13;Amazonas;AM;DIII;D3_00003;1
2019;13;Amazonas;AM;DIII;D3_00001;1
2019;13;Amazonas;AM;DIII;D3_00002;1
2019;13;Amazonas;AM;DIV;D4_00015;1
2019;13;Amazonas;AM;DIV;D4_00013;0
2019;13;Amazonas;AM;DIV;D4_00011;1
2019;13;Amazonas;AM;DIV;D4_00009;0
2019;13;Amazonas;AM;DIV;D4_00008;1
2019;13;Amazonas;AM;DIV;D4_00007;1
2019;13;Amazonas;AM;DIV;D4_00003;1
2019;13;Amazonas;AM;DIV;D4_00004;1
2019;14;Roraima;RR;DIV;D4_00005;0
2019;14;Roraima;RR;DIV;D4_00006;0
2019;14;Roraima;RR;DIV;D4_00002;0
2019;14;Roraima;RR;DIV;D4_00001;0
2019;14;Roraima;RR;DI;D1_00014;1
2019;14;Roraima;RR;DI;D1_00013;0,5
2019;14;Roraima;RR;DI;D1_00015;0,8
2019;14;Roraima;RR;DI;D1_00012;0
2019;14;Roraima;RR;DI;D1_00011;0,5
2019;14;Roraima;RR;DI;D1_00009;0,7
2019;14;Roraima;RR;DI;D1_00010;0,7
2019;14;Roraima;RR;DI;D1_00008;0,3
2019;14;Roraima;RR;DI;D1_00007;0
2019;14;Roraima;RR;DI;D1_00006;0,3
2019;14;Roraima;RR;DI;D1_00005;1
2019;14;Roraima;RR;DI;D1_00004;1
2019;14;Roraima;RR;DI;D1_00003;0,7
2019;14;Roraima;RR;DI;D1_00002;0
2019;14;Roraima;RR;DII;D2_00029;0
2019;14;Roraima;RR;DI;D1_00001;0,8
2019;14;Roraima;RR;DII;D2_00021;0
2019;14;Roraima;RR;DII;D2_00020;0
2019;14;Roraima;RR;DII;D2_00018;0
2019;14;Roraima;RR;DII;D2_00017;0
2019;14;Roraima;RR;DII;D2_00016;0
2019;14;Roraima;RR;DII;D2_00001;0
2019;14;Roraima;RR;DII;D2_00032;0
2019;14;Roraima;RR;DII;D2_00033;0
2019;14;Roraima;RR;DII;D2_00030;0
2019;14;Roraima;RR;DII;D2_00031;0
2019;14;Roraima;RR;DII;D2_00028;0
2019;14;Roraima;RR;DII;D2_00023;0
2019;14;Roraima;RR;DII;D2_00024;0
2019;14;Roraima;RR;DII;D2_00022;0
2019;14;Roraima;RR;DII;D2_00019;0
2019;14;Roraima;RR;DII;D2_00015;0
2019;14;Roraima;RR;DII;D2_00011;0
2019;14;Roraima;RR;DII;D2_00012;0
2019;14;Roraima;RR;DII;D2_00013;0
2019;14;Roraima;RR;DII;D2_00014;0
2019;14;Roraima;RR;DII;D2_00007;0
2019;14;Roraima;RR;DII;D2_00008;0
2019;14;Roraima;RR;DII;D2_00010;0
2019;14;Roraima;RR;DII;D2_00004;0
2019;14;Roraima;RR;DII;D2_00005;0
2019;14;Roraima;RR;DII;D2_00006;0
2019;14;Roraima;RR;DIII;D3_00013;0
2019;14;Roraima;RR;DIII;D3_00012;0
2019;14;Roraima;RR;DII;D2_00002;0
2019;14;Roraima;RR;DII;D2_00003;0
2019;14;Roraima;RR;DIII;D3_00009;0
2019;14;Roraima;RR;DIII;D3_00010;0
2019;14;Roraima;RR;DIII;D3_00011;0
2019;14;Roraima;RR;DIII;D3_00006;0
2019;14;Roraima;RR;DIII;D3_00007;0
2019;14;Roraima;RR;DIII;D3_00008;0
2019;14;Roraima;RR;DIII;D3_00005;0
2019;14;Roraima;RR;DIII;D3_00003;0
2019;14;Roraima;RR;DIII;D3_00001;0
2019;14;Roraima;RR;DIII;D3_00002;0
2019;14;Roraima;RR;DIV;D4_00015;0
2019;14;Roraima;RR;DIV;D4_00013;0
2019;14;Roraima;RR;DIV;D4_00011;0
2019;14;Roraima;RR;DIV;D4_00009;0
2019;14;Roraima;RR;DIV;D4_00008;0
2019;14;Roraima;RR;DIV;D4_00007;0
2019;14;Roraima;RR;DIV;D4_00003;0
2019;14;Roraima;RR;DIV;D4_00004;0
2019;15;Pará;PA;DIV;D4_00005;1
2019;15;Pará;PA;DIV;D4_00006;1
2019;15;Pará;PA;DIV;D4_00002;1
2019;15;Pará;PA;DIV;D4_00001;1
2019;15;Pará;PA;DI;D1_00014;1
2019;15;Pará;PA;DI;D1_00013;0,8
2019;15;Pará;PA;DI;D1_00015;1
2019;15;Pará;PA;DI;D1_00012;1
2019;15;Pará;PA;DI;D1_00011;0,7
2019;15;Pará;PA;DI;D1_00009;0,7
2019;15;Pará;PA;DI;D1_00010;0,9
2019;15;Pará;PA;DI;D1_00008;1
2019;15;Pará;PA;DI;D1_00007;1
2019;15;Pará;PA;DI;D1_00006;1
2019;15;Pará;PA;DI;D1_00005;1
2019;15;Pará;PA;DI;D1_00004;1
2019;15;Pará;PA;DI;D1_00003;1
2019;15;Pará;PA;DI;D1_00002;1
2019;15;Pará;PA;DII;D2_00029;1
2019;15;Pará;PA;DI;D1_00001;1
2019;15;Pará;PA;DII;D2_00021;1
2019;15;Pará;PA;DII;D2_00020;1
2019;15;Pará;PA;DII;D2_00018;1
2019;15;Pará;PA;DII;D2_00017;1
2019;15;Pará;PA;DII;D2_00016;1
2019;15;Pará;PA;DII;D2_00001;1
2019;15;Pará;PA;DII;D2_00032;1
2019;15;Pará;PA;DII;D2_00033;1
2019;15;Pará;PA;DII;D2_00030;1
2019;15;Pará;PA;DII;D2_00031;1
2019;15;Pará;PA;DII;D2_00028;1
2019;15;Pará;PA;DII;D2_00023;1
2019;15;Pará;PA;DII;D2_00024;1
2019;15;Pará;PA;DII;D2_00022;1
2019;15;Pará;PA;DII;D2_00019;1
2019;15;Pará;PA;DII;D2_00015;1
2019;15;Pará;PA;DII;D2_00011;1
2019;15;Pará;PA;DII;D2_00012;1
2019;15;Pará;PA;DII;D2_00013;1
2019;15;Pará;PA;DII;D2_00014;1
2019;15;Pará;PA;DII;D2_00007;1
2019;15;Pará;PA;DII;D2_00008;1
2019;15;Pará;PA;DII;D2_00010;1
2019;15;Pará;PA;DII;D2_00004;1
2019;15;Pará;PA;DII;D2_00005;1
2019;15;Pará;PA;DII;D2_00006;1
2019;15;Pará;PA;DIII;D3_00013;1
2019;15;Pará;PA;DIII;D3_00012;1
2019;15;Pará;PA;DII;D2_00002;1
2019;15;Pará;PA;DII;D2_00003;1
2019;15;Pará;PA;DIII;D3_00009;1
2019;15;Pará;PA;DIII;D3_00010;0
2019;15;Pará;PA;DIII;D3_00011;1
2019;15;Pará;PA;DIII;D3_00006;1
2019;15;Pará;PA;DIII;D3_00007;1
2019;15;Pará;PA;DIII;D3_00008;0
2019;15;Pará;PA;DIII;D3_00005;1
2019;15;Pará;PA;DIII;D3_00003;1
2019;15;Pará;PA;DIII;D3_00001;0
2019;15;Pará;PA;DIII;D3_00002;0
2019;15;Pará;PA;DIV;D4_00015;1
2019;15;Pará;PA;DIV;D4_00013;1
2019;15;Pará;PA;DIV;D4_00011;1
2019;15;Pará;PA;DIV;D4_00009;1
2019;15;Pará;PA;DIV;D4_00008;1
2019;15;Pará;PA;DIV;D4_00007;1
2019;15;Pará;PA;DIV;D4_00003;1
2019;15;Pará;PA;DIV;D4_00004;1
2019;16;Amapá;AP;DIV;D4_00005;0
2019;16;Amapá;AP;DIV;D4_00006;0
2019;16;Amapá;AP;DIV;D4_00002;0
2019;16;Amapá;AP;DIV;D4_00001;0
2019;16;Amapá;AP;DI;D1_00014;0,7
2019;16;Amapá;AP;DI;D1_00013;0,8
2019;16;Amapá;AP;DI;D1_00015;0,7
2019;16;Amapá;AP;DI;D1_00012;1
2019;16;Amapá;AP;DI;D1_00011;0,8
2019;16;Amapá;AP;DI;D1_00009;0,8
2019;16;Amapá;AP;DI;D1_00010;1
2019;16;Amapá;AP;DI;D1_00008;1
2019;16;Amapá;AP;DI;D1_00007;1
2019;16;Amapá;AP;DI;D1_00006;1
2019;16;Amapá;AP;DI;D1_00005;1
2019;16;Amapá;AP;DI;D1_00004;1
2019;16;Amapá;AP;DI;D1_00003;1
2019;16;Amapá;AP;DI;D1_00002;1
2019;16;Amapá;AP;DII;D2_00029;1
2019;16;Amapá;AP;DI;D1_00001;1
2019;16;Amapá;AP;DII;D2_00021;1
2019;16;Amapá;AP;DII;D2_00020;0
2019;16;Amapá;AP;DII;D2_00018;1
2019;16;Amapá;AP;DII;D2_00017;0
2019;16;Amapá;AP;DII;D2_00016;0
2019;16;Amapá;AP;DII;D2_00001;1
2019;16;Amapá;AP;DII;D2_00032;0
2019;16;Amapá;AP;DII;D2_00033;0
2019;16;Amapá;AP;DII;D2_00030;1
2019;16;Amapá;AP;DII;D2_00031;1
2019;16;Amapá;AP;DII;D2_00028;1
2019;16;Amapá;AP;DII;D2_00023;0
2019;16;Amapá;AP;DII;D2_00024;0
2019;16;Amapá;AP;DII;D2_00022;1
2019;16;Amapá;AP;DII;D2_00019;1
2019;16;Amapá;AP;DII;D2_00015;1
2019;16;Amapá;AP;DII;D2_00011;1
2019;16;Amapá;AP;DII;D2_00012;0
2019;16;Amapá;AP;DII;D2_00013;1
2019;16;Amapá;AP;DII;D2_00014;1
2019;16;Amapá;AP;DII;D2_00007;1
2019;16;Amapá;AP;DII;D2_00008;1
2019;16;Amapá;AP;DII;D2_00010;1
2019;16;Amapá;AP;DII;D2_00004;1
2019;16;Amapá;AP;DII;D2_00005;1
2019;16;Amapá;AP;DII;D2_00006;1
2019;16;Amapá;AP;DIII;D3_00013;1
2019;16;Amapá;AP;DIII;D3_00012;1
2019;16;Amapá;AP;DII;D2_00002;1
2019;16;Amapá;AP;DII;D2_00003;0
2019;16;Amapá;AP;DIII;D3_00009;0
2019;16;Amapá;AP;DIII;D3_00010;1
2019;16;Amapá;AP;DIII;D3_00011;1
2019;16;Amapá;AP;DIII;D3_00006;1
2019;16;Amapá;AP;DIII;D3_00007;1
2019;16;Amapá;AP;DIII;D3_00008;0
2019;16;Amapá;AP;DIII;D3_00005;1
2019;16;Amapá;AP;DIII;D3_00003;1
2019;16;Amapá;AP;DIII;D3_00001;0
2019;16;Amapá;AP;DIII;D3_00002;1
2019;16;Amapá;AP;DIV;D4_00015;0
